QUEST_20150211_000001	퀘스트 수정이 필요한 유저를 선택해주세요.	Please select the required user quest fixes.
QUEST_20150211_000165	드디어 마법사의 탑으로 들어갈 방법을 찾았다.{nl}그건 특정 장소에 마력을 응집하는 것.{nl}이제는 결행만이 남았다.	I have found a way to finally enter the tower of the wizard. {Nl} it be aggregated magic to a specific location. {Nl} remained only now fine.
QUEST_20150211_000166	이제 곧 나의 특제 장치가 작동할 것이다.{nl}날 따라 한다면 그대도 마법사의 탑으로 들어갈 수는 있겠지.{nl}	Now my special equipment is operated. {Nl} you also will not be able to enter the tower of the wizard if you follow me. {Nl}
QUEST_20150211_000167	물론 그 후에 멍청한 마법사들 같은 건 알아서 해야 할 것이다. 하하!	Of course, and you must take care of things like stupid wizard. Ha ha!
QUEST_20150211_000168	교훈의 비석	Lessons of the monument
QUEST_20150211_000169	남의 탑을 침입하고 남의 물건을 손댄 어리석은 도적을 불태워 죽였다.{nl}허나 그의 비석은 침입자에 대한 경고로써 남겨두는 바이다. {nl} -아가일라 플러리-	Invade the tower of others, was killed by burning stupid thief you have touched the things of others. {Nl} But, his monument is where you are left as the intruder alert. {Nl} - Argyle La Fleury -
QUEST_20150211_000170	마왕 제스티	Devil second stay
QUEST_20150211_000171	인간 주제에 감히 내게.. {nl}	Dare to human subject and I .. {nl}
QUEST_20150211_000172	두고 보아라. 아직 끝나지 않았으니까.{nl}라이마가 이 세계를 구하길 마음껏 빌어 보거라.	Look Place. And because he is not over yet. {Nl} Mr. Lai, I think see implemented want unlimited to save this world.
QUEST_20150211_000173	클라페다 안내병	Klaipeda officer
QUEST_20150211_000174	어서 오시죠. 우스카님이 클라페다 중앙 광장에서 기다리고 계십니다.{nl}참, 미처 숙지하지 못한 사항이 있으십니까?	And Irasshai. Usuka's are awaiting the Klaipeda central square. {Nl} true, still Do you have matters that do not understand?
QUEST_20150211_000175	클라페다 입구로 바로 이동하고 싶은 건가?{nl}잘 생각해 보게.	Do you want to go to Klaipeda entrance immediately? {Nl} Think carefully.
QUEST_20150211_000176	임시운영자	One o'clock operator
QUEST_20150211_000177	이 캐릭터의 상태값을 바꿔주세요	Please change the state value of this character
QUEST_20150211_000178	NPC HIDE/UNHIDE설정!	NPC HIDE / UNHIDE setting!
QUEST_20150211_000179	추종자 알기스	Believers know scan
QUEST_20150211_000180	여신께서 초대 팔라딘에게 예견하신 순간이 찾아왔군.{nl}자, 뭐든 물어 보려므나.	moment the goddess has been foreseen to invite Paladin has been visited. And {nl}, to try what I heard Muna.
QUEST_20150211_000181	아주 먼 옛날에 역병의 저주를 받은 유목민이 떠돌고 있었단다.{nl}초대 팔라딘님께서 그들의 저주를 치유의 성물로 끊어 주셨어.{nl}	I hear nomads which has received the curse of the plague had been floating around very long time ago. {Nl} invitation paladin like is you cut to treasure heal their curse. {Nl}
QUEST_20150211_000182	파수꾼들이 바로 그 유목민들의 후예이지.{nl}하지만 성물의 본래 목적은 치유가 아니야.{nl}{nl}	Lookout is just a descendant of the nomads. Original purpose of {nl} mono is not a cure. {Nl} {nl}
QUEST_20150211_000183	어느 날, 여신께선 초대 팔라딘에게 계시를 부탁하셨지.{nl}이걸 어떻게 감출까 고민하던 차에 나타난 게 저주받은 유목민이였어.{nl}	One day, what a revelation to the goddess Quezon invitation Paladin was ask. {Nl} How was the nomads that was cursed as shown in the car that was suffering I hide. {Nl}
QUEST_20150211_000184	초대 팔라딘님께선 저주를 끊어 주는 조건으로 세 가지 맹약을 내거셨지.{nl}	Shotoji listed three treaty in conditions that will turn off the invitation paladin like Quezon curse. {Nl}
QUEST_20150211_000185	테넷 성당을 함께 지을 것. {nl}치유의 성물을 이 땅에 감춰 두고 성스럽게 모실 것.{nl}이 땅에 위험이 닥칠 때 함께 힘을 모아 싸울 것.{nl}	To build Teneto the cathedral together. {Nl} healing treasure the sacred carry it by placing it hidden in this land. {Nl} it will fight to match the force together when danger is close to the land. {Nl}
QUEST_20150211_000186	이게 다 테넷 성당의 성소에 감춰져 있는 계시를 지키기 위한 거란다.	It's the order to protect the revelation that has been hidden in the sanctuary of all of Teneto Cathedral.
QUEST_20150211_000187	치유의 성물은 본디 계시를 지키려고 만들어진 거란다.{nl}이걸로 마왕을 유인해서 해치우는 것이지.{nl}	Healing of those told me that he was made in order to protect the original revelation. {Nl} would pull off now to attract devil. {Nl}
QUEST_20150211_000188	하지만 모든 건 만약이라는 게 있기 마련이거든.{nl}이 작전이 실패한다면 최후의 결전이 벌어질 장소는 아마 테넷 성당이 될 게야.	However, all of it, if there is supposed that there is that if. {Nl} If this strategy fails, where the last decisive battle unfolds will probably become Teneto Cathedral gain ya.
QUEST_20150211_000189	폰델	Ponderu
QUEST_20150211_000190	무슨 일인데?	What is it?
QUEST_20150211_000191	정말?	Are you sure?
QUEST_20150211_000192	폰드	Lb
QUEST_20150211_000193	무슨 일이야?	What?
QUEST_20150211_000194	제스티님이 여기 지키라고 하셨어..	Gesti tole us to protect this place..
QUEST_20150211_000195	이제 뭘 해야하지?	So what do we do now?
QUEST_20150211_000196	여기가 맞아?	This is the right place?
QUEST_20150211_000197	설명 중	In the description
QUEST_20150211_000198	수정광산에서 얻은 계시의 내용의 일부를 알려주었다	It taught me a part of the contents of revelation obtained from the modified mine
QUEST_20150211_000199	당신의 과거행적이 얼마나 빛나는지 모르겠습니다만 여기선 왕국군의 통제를 따라 주셔야합니다.{nl}칼리스 기사단도 마찬가지 입니다. 여기선 왕령에 따라 우리가 곧 법입니다.	I don't know how great you were in the past {Nl}but in here, you have to follow the rule of the kingdom. {Nl}Same goes for Kalis Knights. We are the law in here
QUEST_20150211_000200	도굴꾼 후베르타스	Ghouls after Vers
QUEST_20150211_000201	이런 황폐한 곳에서 며칠씩 기다리고 있으려니 내가 미쳐가는 게 느껴져.{nl}형님은 대체 왜 안 오시는 거야!	Now that you have this kind of devastated, assuming that no matter wait for many days, I have to have felt going crazy. {Nl} brother, Alternate why access!
QUEST_20150211_000202	도굴꾼 벤자미나스	Ghouls Benzaminasu
QUEST_20150211_000203	우린 스스로를 고고학자라고 부르고 싶어하지만 다들 도굴꾼이라고 하지요.{nl}주인없는 물건들이 제가치를 찾을 수 있는 곳으로 옮겨주는 일은 어쩔땐 여신을 대변하기까지 합니다.{nl}누구에게나 여기 이렇게 굳어서 풍화되어 사라져가는 것보단 훨씬 나을 거에요.	We however want to call yourself and archaeologist, called everyone ghouls. {Nl} those with no owner is you want to speak for Ochoruten goddess be moved to the location where you can find me value. {Nl} is better than to be anyone disappear been weathering here so firmly even in.
QUEST_20150211_000204	어느 시민의 일기	Diary of any citizen
QUEST_20150211_000205	내전이 발발한 지 1년이란 시간이 지났다. 도시의 물가가 무척 올랐다. 루클리스 장군께서는 병참물자를 내놓아 부족한 도시의 물자를 보충한다고 한다. 그러나 모처럼 좋은 소식에도 카듀멜 국왕이 루클리스 장군을 노리고 친정을 하려 한다는 소문이 돌아서 사람들의 분위기는 그다지 좋지 않다.	Time that since the civil war broke out one year has passed. Prices of the city has been very up. Rukururesu generals that replenish the material of the city that are missing by issuing the logistics supplies. However, Kade~yumeru king people of atmosphere around the rumor that you are trying to the home aimed at Rukururisu Shogun is not very well to great pains good news.
QUEST_20150211_000206	어느 파수병의 일지	Duck any sentinel
QUEST_20150211_000207	카듀멜 국왕이 친정하면서 전황이 급박해져 초소의 경비가 더 강화되었다. 무능한 카듀멜이 많은 병력을 이끌고 온 것은 사실이지만. 하야틴 장군께서 지원병을 이끌고 오신다면 카듀멜은 항복하거나 도망치게 될 것이다.	Kade~yumeru king has been enhanced more cost of the war situation is imminent become vigilance office while home. The incompetence Kade~yumeru have led many troops it is a fact. Once Shimono Teen generals come led the volunteers, Kade~yumeru or surrender, it will run away.
QUEST_20150211_000208	어느 상인의 일기	Which merchant diary
QUEST_20150211_000209	도시에 식량과 물자가 바닥나고 있다. (이하는 판독불능)	Food and goods are then bottomed in the city, it is. (The following is illegible)
QUEST_20150211_000210	시민들이 겪는 고난이 심하다는 보고를 듣고 루클리스 장군께서 시민의 안전을 조건으로 카듀멜과 협상을 한다는 소문이 들린다. 	Citizens hear are rumors that Rukururesu Shogun to hear the reports of terrible suffering to the negotiations with Kade~yumeru to condition the safety of citizens.
QUEST_20150211_000211	어느 장교의 기록	Record of any official
QUEST_20150211_000212	재상인 프리미어 에미넌트가 루클리스 장군과 협상에 응했다고 한다. 협상에 따라 우리는 대지의 요새로 전부 이동하고 도시는 왕실군에게 내어줄 것이란 말이 들린다. 시민들을 생각하면 어쩌면 잘 된 일일 수도 있다. 도시는 양보했지만, 대지의 요새는 적에게 간단히 내줄 만큼 약한 곳이 아니다.	That Premier Emmy Nantes of prime minister has responded to negotiate with Rukururisu Shogun. Depending on the negotiations, we will move all the earth fortress, the city heard the words that my Ojuru royal army. Consider a citizen and it is also that probably went well. City was concession, but the earth of the fort is not a place that is weak easily pass as of the enemy.
QUEST_20150211_000213	카듀멜 국왕이 도시민들을 처벌하라고 고집을 부린다고 한다. 재상인 에미넌트가 그것을 간신히 말리고 루클리스 장군과 협상한 내용대로 도시의 안전을 보장하느라 애쓰고 있다고 한다. 도시를 점령한 왕실군대도 일단은 크게 위협적인 행동을 하지는 않고 있다.	That Kade~yumeru King put to the stuck as to punish the city people. In that Eminanto of prime minister is struggling to ensure the safety of the contents street city negotiated it with the finally dry Rukururesu Shogun. Royal army occupied the city also tentatively're without threatening behavior significantly.
QUEST_20150211_000214	코스타스님이 오실 때까지 여기 이러고 있어야 합니다. {nl}안 그래도 할일이 많은데 빨리 좀 돌아오시면 좋겠어요.	You need to do this here until a Costa monk. But also often do not be a {nl}, I should I Irasshare immediately some return.
QUEST_20150211_000215	크리오맨서 코스타스	Clio Mansour Costas
QUEST_20150211_000216	실크의 징표만 다시 되찾는다면 모든 걸 해결할 수 있네.{nl}도시를 되돌릴 수 있다는 말이지.	If you are looking only signs of silk is re, it is able to solve all. {Nl} I say to be able to return the city to the original.
QUEST_20150211_000217	도굴꾼 루돌파스	Ghouls Lou breakthrough scan
QUEST_20150211_000218	왕국군과 칼리스 기사단, 우리 도굴꾼들이 절묘한 균형을 이룬다고 생각해{nl}그나마 사람들이 돌아다닐 수 있는 거지.. 그 전엔 잠시도 있을 곳이 못 됐지.	Kingdom army and chalice knight, we and demons forms an exquisite balance thought {nl} I can people who do not roam # do not that is before or also whereabouts is not object-oriented moment.
QUEST_20150211_000219	왕국군 장교의 기록	Record of the Kingdom army officer
QUEST_20150211_000220	루클리스 일당이 대지의 요새로 후퇴한 후로 더 이상의 진전이 없는 상황이다. 메이번의 입김을 받은 성직자들이 참전에 소극적이자 국왕께서는 마법사들을 거액을 들여 고용하여 전세를 바꾸려 노력중이나 그들의 참전에도 별다른 진전은 없을 것이란 예감이 든다.	After Rukururesu gang is retracted into fortress of the earth, it is more progress there is no situation. Is Mei times reluctant priests to war that has received the breath, the king, special development effort in and also in their race to try to change the charter the wizard by employment by investing a huge amount is not that hunch is.
